Name,ImageLink,Genres,About,Keywords
Прислуга,https://avatars.mds.yandex.net/get-kinopoisk-image/4303601/f1c4d9cb-2120-487c-a84a-cbb8e5c462c0/300x450,драма,"Американский Юг, на дворе 1960-е годы. Скитер только-только закончила университет и возвращается домой, в сонный городок Джексон, где никогда ничего не происходит. Она мечтает стать писательницей, вырваться в большой мир. Но для приличной девушки с Юга не пристало тешиться столь глупыми иллюзиями, приличной девушке следует выйти замуж и хлопотать по дому.","1960-е, Автобус, Афроамериканец, Беременная жена, Беременность, Богатые родители, Будущая мать, Выкидыш, Выпечка, Газетный обозреватель, Главный герой - женщина, Гражданские права, Движение за гражданские права, Друг, Дружба, Классовые различия, Красавица с юга, Миссиссипи, Название прописью, Название, сказанное персонажем, Написание книги, Написание романа, Оригинальное название из двух слов, Отношения матери и дочери, Отношения мужа и жены, Первая работа, Пирог, Писатель, По мотивам романа, Расизм, Расовая ненависть, Расовая сегрегация, Расовые проблемы, Сила духа, Сильная героиня, Служанка, Старение, Тест Бекдел пройден, Трофейная жена, Умирающий от рака, Упоминание Мартина Лютера Кинга, Управление эмоциями, Чернокожая горничная, Экскременты, Эксплуатационное кино"
Один день,https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/d7aa21db-2102-4b8b-81f0-f7ec4e0e9ec9/300x450,"драма, мелодрама","Эмма романтична, остра на язык и хочет изменить мир к лучшему. Декстер — плейбой, баловень судьбы и хочет, чтобы мир принадлежал ему. Впервые они встретились на выпускном в колледже и провели вместе только один день. А потом пришла ночь, и они решили остаться друзьями.","Авария на велосипеде, Безответная любовь, Босой мужчина, Брачная неверность, Голая женщина (вид сзади), Голый мужчина (вид сзади), Детский писатель, Дружба мужчины и женщины, Жена, изменяющая мужу, Женская нагота, Колледж, Купание нагишом, Лучший друг, Младенец, Ночь, Нюханье кокаина, Окончание университета, Отношения отца и сына, Писатель, Плавание кролем, Плохое пение, Полностью обнаженная женщина, Потеря любимого человека, Поцелуй, Поэзия, Праздник, Прелюдия, Распитие вина, Свидание, Склонность к сексу, Случайная смерть, Стэндап комик, Сценарий, адаптированный автором, Трагичный роман, Флешбэк, Школьный учитель"
Хористы,https://avatars.mds.yandex.net/get-kinopoisk-image/10703959/400edd3c-f606-4822-89ee-1d852cf161f8/300x450,"драма, музыка","Франция, 1949 год. Отчаявшись найти работу, учитель музыки Клемент Матье попадает в интернат для трудных подростков. Там он видит, к каким жестоким «воспитательным мерам» прибегает ректор этого заведения Рашан. Чем больше издевается Рашан над мальчиками, тем агрессивнее они становятся.","13-летний, Арифметика, Благодарность, Буллинг, Ворота, Графиня, Дети, Дисциплина, Единство, Закрытое учебное заведение, Инженер, Интрига, Летательный воздушный шар, Лжец, Ложь, Мальчик, Мать-одиночка, Мифомания, Музыкальная консерватория, Музыкант, Общежитие, Парень, Парень-подросток, Песня, Полиция, Прачечная, Психиатр, Ранец, Саморазрушение, Самоубийство через прыжок с высоты, Секретный код, Сирота, Спальня мальчиков, Справедливость, Театральные зрители, Учитель, Франция, Французская деревня, Хор, Чернила, Чудо, Школа"
Невидимый гость,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/611a2f49-49fb-458e-b98a-fb46672f1a24/300x450,"триллер, криминал, детектив","Молодого бизнесмена Адриана Дориа обвиняют в убийстве любовницы, и он решает воспользоваться услугами Вирджинии Гудман, лучшего в стране специалиста по выходу из самых сложных ситуаций. Адриан содержится под домашним арестом, а завтра состоится судебное заседание, поэтому вечером к нему приходит Вирджиния, чтобы придумать наилучшую стратегию защиты. Для неё это последнее дело, и она не собирается его проигрывать.","Автомобильная авария, Барселона (Испания), Бизнесмен, Богатая женщина, Богач, Босой мужчина, Гонка со временем, Джалло, Женщина-фотограф, Жестокость, Изменяющий муж, Испания, Испанское джалло, Лифт, Любовник, Любовница, Нашедший мёртвое тело, Неверный муж, Неожиданный финал, Номер в отеле, Обнаружение мертвого тела, Олень, Оригинальное название из одного слова, Отель, Переделанный, Плачущий мужчина, Повествование флешбэками, Повторяющаяся сцена с разных точек зрения, Пожилая женщина, Посетитель, Посещение, Просмотр телевизора, Психотронный фильм, Резервуар, Ручка, Сериал внутри фильма, Снег, Супружеская измена, Сценарий режиссера, Телефонный звонок, Флешбэк, Юрист"
Выстрел в пустоту,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/8d7d0aec-c600-4d8e-9765-15e2b4b4ccfc/300x450,"криминал, триллер, драма","Будучи нетрезвым, успешный биржевой маклер Джейкоб Харлон попадает в автомобильную аварию, в которой погибает его коллега по работе. Оказавшись за решёткой, мужчина быстро принимает жестокие правила игры и вскоре завоёвывает авторитет. Всё глубже погружаясь в мир тюремного криминала, Джейкоб вскоре понимает, что в прежней жизни ему уже нет места.","XXI век, Автомобильная авария, Арийское братство, Женская нагота, Женщина топлесс, Жестокое обращение, Жестокость, Жестокость банды, Жизнь в тюрьме, Заключенный, Заколотый насмерть, Избиение, Клетка, Контрабанда, Машина, Мобильный телефон, Мужская дружба, Мужчина с обнаженной грудью, Наручники, Наручники за спиной, Организованная преступность, Оружие, Отношения мужа и жены, Парень, Пикап, Письмо, Подарок, Подвозить по пути, Подросток, Раздевание, Скинхед, Смерть, Сын, Татуировка, Тюремная банда, Тюремная драма, Тюремная камера, Тюремное насилие, Тюрьма"
Пролетая над гнездом кукушки,https://avatars.mds.yandex.net/get-kinopoisk-image/1704946/3521be40-0419-4864-9d62-461cc7959f2c/300x450,драма,"Рэндла Патрика Макмёрфи, патологического преступника и бунтаря, переводят из колонии в психиатрическую клинику, чтобы установить, является он душевнобольным или нет. В клинике он обнаруживает, что отделение контролирует хладнокровная, строгая и одержимая распорядком старшая медсестра Милдред Рэтчед. Макмёрфи намерен не подчиняться абсурдным, на его взгляд, правилам и одновременно повеселиться от души. Его бунтарская натура заражает других пациентов, но сестра Рэтчед решительно настроена пресечь это.","1960-е, Американский индеец, Антигерой, Апостроф в оригинальном названии, Белые трусы, Герой, Голый мужчина (вид сзади), Госпитализация, Групповая психотерапия, Двусмысленное оригинальное название, Женская нагота, Задушенный подушкой, Заикание, Злая женщина, Зло, Злодейка, Культовый фильм, Лоботомия, Маленький город, Медсестра, медбрат, Название птицы в оригинальном названии, Независимый фильм, Неразборчивая в связях женщина, Огонь внутри, Органы власти, По мотивам романа, Побег, Повстанец, Подъем тела в воздух, Полуобнаженная женщина, Права человека, Психиатрическая больница, Психиатрическая экспертиза, Психическое заболевание, Психопат, Пунктуация в оригинальном названии, Рыбалка, Садист, Садист-психопат, Сдержанность, Сексуальность, Сестра в психиатрической клинике, Сильная героиня, Трусы, Фигура Христа, Шизофреник, Электрошоковая терапия"
Бегущий по лезвию 2049,https://avatars.mds.yandex.net/get-kinopoisk-image/1898899/33dbf977-208f-448c-8726-d2fafdcced28/300x450,"фантастика, боевик, триллер, драма","В недалеком будущем мир населен людьми и репликантами, созданными выполнять самую тяжелую работу. Работа офицера полиции Кей — держать репликантов под контролем в условиях нарастающего напряжения. Он случайно становится обладателем секретной информации, которая ставит под угрозу существование всего человечества. Желая найти ключ к разгадке, Кей решает разыскать Рика Декарда — бывшего офицера специального подразделения полиции Лос-Анджелеса, который бесследно исчез много лет назад.","2040-е, Беглец, Бегущий по лезвию, Беспощадность, Ближайшее будущее, Воссоединение отца и дочери, Генеральный директор, Генная инженерия, Год в оригинальном названии, Детектив, Жестокость, Игрушечная лошадь, Избиение, Измененный логотип студии, Имплантированная память, Калифорния, Капитализм, Капиталист, Капитан полиции, Киберпанк, Клон, Колющий удар в грудь, Лас-Вегас, Невада, Летающая машина, Мрачное будущее, Неонуар, Перестрелка, Полицейский, Полицейский детектив, Полицейское управление Лос-Анджелеса, Похищение людей, Рабский труд, Расследование, Реклама товара в кино, Репликант, Сиквел, Сиквел культового фильма, Смерть, Сражение женщины с мужчиной, Тех-нуар, Угроза ножом, Удар по лицу, Удушение, Упоминание Элвиса Пресли, Фильм начинается надписью, Фьючер-нуар, Экзистенциализм"
Воин,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/ae52ff2c-c065-415d-8554-15904681707a/300x450,"драма, спорт","Томми Конлон - молодой боец, вернувшийся домой после долгого отсутствия, чтобы приготовиться к участию в большом турнире. Отец-пьяница, в прошлом талантливый боксер, берется тренировать сына.","Алкоголик, Американский флаг, Бейсбольная бита, Боксерский ринг, Бывший моряк, Вдова, Вещевой мешок, Воздушный шар, Воин, Воссоединение, Дистанционное управление, Духовное перерождение, Засыпание, Защитные очки, Казино, Классная комната, Кольцо / ринг, Крест, Магнитофон, Мост, Оригинальная история, Отношения между братьями, Отношения отца и сына, Победитель, Прощение, Река, Рефери, Семейная фотография, Синяк, Смешанные боевые искусства, Турнир, Турнир боевых искусств, Упражнение, Физика, Фотография, Фотография в рамке, Церковь, Шляпа, Шпиль"
Таксист,https://avatars.mds.yandex.net/get-kinopoisk-image/1900788/59f6ce5c-4938-49d1-a1f7-5b9055ca541c/300x450,"история, драма, биография",В результате военного переворота в декабре 1979 года южнокорейским президентом становится Чон Ду-хван. После расстрела студенческой демонстрации в городе Кванджу местные жители решают массово выступить против режима. Диктатор бросает на подавление восстания военные части.,"1980-е, Автомобильная погоня, Армия, Больница, Вождение задом наперед, Вождение ночью, Деньги, Драка на кулаках, Дружба, Застреленный насмерть, Кванджу, Южная Корея, Корейская история, Кровопролитие, Мелкий бизнес, Ночь, Огонь из оружия, Основано на реальных событиях, Плач, Полицейская жестокость, Преследование, Проблемы с двигателем, Ранение, Революционер, Революция, Семейное фото, Сеул, Южная Корея, Слезы, Сломанный автомобиль, Смерть, Солдат, Сосед, Таксист, Токио, Япония, Фотоаппарат, Шофер, Южнокорейская армия"
Лицо со шрамом,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/1303d9e8-8fdb-4290-a42f-0491a2910a83/300x450,"драма, криминал, боевик","Весной 1980 года был открыт порт Мэйриэл Харбор, и тысячи кубинских беженцев ринулись в Соединенные Штаты на поиски Американской Мечты. Один из них нашел ее на залитых солнцем улицах Майами. Богатство, власть и страсть превзошли даже самые невероятные его мечты. Его звали Тони Монтана. Мир запомнил его под другим именем — Лицо со шрамом.","1980-е, Автомобиль, начиненный взрывчаткой, Антигерой, Власть / энергия, Волна преступности, Гангстер, Гнев, Гранатомет, Жестокость, Застреленный, Знаменитая реплика, Капитализм, Кокаин, Колумбийский наркокартель, Коррупция в политике, Куба, Кубинец, Кубинские американцы, Кубинские беженцы, Культовый фильм, Мертвый человек, Наёмный убийца, Незаконная деятельность, Нюханье кокаина, Организованная преступность, Оригинальное название из одного слова, Покушение на убийство (по найму или по политическим причинам), Римейк, Саморазрушение, Свадьба, Смерть главного героя, Сцена стрельбы, Тигр, Фильм кончается сценой смерти, Цепная пила, Чувство горечи, Шрам, Шрам на лице, Электронная музыка в саундтреке, Юрист"
Звук свободы,https://avatars.mds.yandex.net/get-kinopoisk-image/10900341/4fb19ff4-34f2-42de-be25-521b1fcdc2fe/300x450,"драма, криминал, триллер","Оперативник Министерства внутренней безопасности Тим Баллард разочаровался в системе — много лет он выслеживал и ловил педофилов, но не вызволил из лап работорговцев ни одного ребёнка. Тим втирается в доверие к недавно пойманному распространителю детского порно, убеждает его, что он «свой», и вот уже из Мексики ему везут восьмилетнего мальчика. Маленький Мигель становится первым освобождённым из множества детей, проданных в сексуальное рабство в Латинской Америке, и Тим решает во что бы то ни стало разыскать его сестрёнку.","Американец за границей, Гонка со временем, Девочка, Дети, Линчеватель, Мальчик, Миссия, Название из трех слов, Опасная миссия, Основано на жизни реального человека, Основано на реальных событиях, Похищение ребенка, Преступление на сексуальной почве, Проникновение в ряды противника, Рабство, Ребенок в опасности, Секс-траффик, Сексуальный преступник, Социальная проблема, Спасательная миссия, Специальный агент, Теория заговора, Торговля детьми, Торговля людьми, Федеральный агент, Христианская пропаганда"
Гарри Поттер и Принц-полукровка,https://avatars.mds.yandex.net/get-kinopoisk-image/4774061/3b4b90e6-0b62-410c-a583-6977df318fbe/300x450,"фэнтези, приключения, семейный","Теперь не только мир волшебников, но и мир маглов ощущает на себе всевозрастающую силу Волан-де-Морта, а Хогвартс уже никак не назовешь надежным убежищем. Гарри подозревает, что в самом замке затаилась некая опасность, но Дамблдор больше сосредоточен на том, чтобы подготовить его к финальной схватке, которая, как он знает, уже не за горами. Вместе они пытаются разгадать секрет бессмертия Волан-де-Морта, а для этого Дамблдор приглашает на должность преподавателя по зельеварению своего старинного друга и коллегу — профессора Горация Слизнорта.","Брат-близнец, Волшебство, Горящий дом, Добро против зла, Дружба, Замок, Званый обед, Капающая кровь, Колдовство, Коробка конфет, Любовный напиток, Наследственная способность колдовства, Невидимость, Обрушающийся мост, Огонь, Память, Пена из рта, Песочные часы, Пища с наркотической начинкой, Платяной шкаф, По мотивам молодежного романа, По мотивам романа, Поднятие женщины в воздух, Подросток, Предательство, Профессор, Сиквел, Сирота, Сиротский приют, Сожженный дотла дом, Убийство, Учитель"
Старикам тут не место,https://avatars.mds.yandex.net/get-kinopoisk-image/1599028/fd0501f0-adaf-48fd-bad3-1216a33fc95a/300x450,"триллер, драма, криминал, вестерн","Обычный работяга обнаруживает в пустыне гору трупов, набитый героином грузовик и соблазнительную сумму в два миллиона долларов наличными. Он решает взять деньги себе, и результатом становится волна насилия, которую не может остановить вся полиция Западного Техаса.","1980-е, Беспощадность, Ветеран, Ветеран Вьетнамской войны, Граница Мексики и США, Деньги, Жестокость, Заместитель, Наркодилерство, Наёмный убийца, Небольшое количество диалогов, Нео-вестерн, Неожиданный финал, Неонуар, Несчастный случай на транспорте, Нигилизм, Огнестрельное оружие, Оружие, Охота, Охотник за головами, Пересечение границы, По мотивам романа, Пограничник, Подбрасывание монеты, Покрытый кровью, Полиция, Психопат, Пустыня, Ранец, Саспенс, Сварщик, Серийный убийца, Смерть, Сон, мечта, Страх, Техас, Убийство, Убийство собаки, Убийца по контракту, Убийца-психопат, Устройство слежения, Хладнокровное убийство, Череда убийств, Шериф, Эль Пасо, Техас"
Терминатор,https://avatars.mds.yandex.net/get-kinopoisk-image/1600647/537869cd-5fb8-4993-af4c-c5f6a30e61ba/300x450,"фантастика, боевик, триллер","История противостояния солдата Кайла Риза и киборга-терминатора, прибывших в 1984 год из пост-апокалиптического будущего, где миром правят машины-убийцы, а человечество находится на грани вымирания.","1980-е, 2029 год, Автомобильная погоня, Автостоянка, Беременность, Борец за свободу, Будущая война, Героиня, Герой, Герой боевика, Добро против зла, Допрос, Женская нагота, Жестокость, Злодей, Злой робот, Киборг, Магазин оружия, Мотель, Новости, Ночной клуб, Обрез, Оригинальная история, Оружейный магазин, Постапокалипсис, Потеря любимого человека, Публичное обнажение, Путешественник во времени, Путешествие во времени, Робот, Робототехника, Романтика путешествий по времени, Самохирургия, Сбитый грузовиком, Смерть друга, Солнцезащитные очки, Сон, мечта, Тех-нуар, Фотография, Ядерная война"
Большая игра,https://avatars.mds.yandex.net/get-kinopoisk-image/1900788/eabf413e-b465-4857-a7b0-9c54c260778f/300x450,"биография, криминал, драма","После очередной травмы могулистка Молли Блум решает завязать со спортом и пожить обычной жизнью. Так получается, что девушка сначала работает хостесс на нелегальных покерных играх, а вскоре и сама становится организатором подпольного казино для знаменитостей, миллионеров, членов королевских семей и других любителей в мгновение ока спустить целое состояние.","Автобиография, Агент ФБР, Азартные игры, Актер, Арест, Ассистент, Взлеты и падения, Вторжение в дом, Гангстер, Главный герой - женщина, Деловая женщина, Жадность, Закадровый голос, Зал суда, Звезда кино, Игра в покер, Испытание, Катание на лыжах, Колорадо, Лос-Анджелес, Калифорния, Нападение, Наркотически зависимый, Незаконные азартные игры, Нелинейное повествование, Несчастный случай на лыжах, Ночной клуб, Нью-Йорк, Обвинительный акт, Основано на реальных событиях, Отношения отца и дочери, По мотивам книги, По мотивам мемуаров, Предприниматель, Профессор, Психолог, Русская мафия, Суд, Судья, Флешбэк, Хирургия, Честность, Юридическая драма, Юрист"
Убойные каникулы,https://avatars.mds.yandex.net/get-kinopoisk-image/4486454/cf50ae52-c59d-4e24-988a-f64794ee800a/300x450,"комедия, триллер","Группа студентов отправляется за город, чтобы вовсю оторваться на выходных: попить пивка, поплавать в озере и подышать чистым воздухом. Но в первый же день они сталкиваются с неотёсанными фермерами Такером и Дейлом, которые тоже решили как следует оттянуться на природе. Приняв этих на вид диковатых, но безобидных ребят за злобных маньяков, горожане решают дать деревенщине жёсткий отпор.","Бензозаправка, Блондинка (блондин), Висящий вниз головой, Вуайеризм, Вуайерист, Горящий человек, Группа друзей, Девушка в бюстгальтере и трусах, Деревенщина, Дом в лесу, Дробилка для древесных отходов, Женская грудь, Женская нагота (вид спереди), Жлоб, Коса, Кровавое лицо, Кровь, Купание нагишом, Лесопилка, Лодка, Ложбинка между грудей или ягодиц, Нагота, Невероятный случай, Нежелательный поцелуй, Ночь, Обнаженная девочка, Обожжённое лицо, Обрезанные шорты, Отпуск, Пиво, Пневматический молоток, Полуобнаженная женщина, Раскрытое отцовство, Рыбалка, Связанный, Случайная смерть, Случайное самоубийство, Собака, Стереотипный реднек, Студент, Студент колледжа, Трусы, Хижина в лесу, Цепная пила, Циркулярная пила"
Пираты Карибского моря: На краю света,https://avatars.mds.yandex.net/get-kinopoisk-image/1773646/dfa69f9c-3c71-436f-9b1d-797cd562f04a/300x450,"приключения, боевик, фэнтези","Новые приключения Джека Воробья и его друзей Уилла Тернера и Элизабет Суонн. На этот раз Уиллу и Элизабет придется объединиться с самим Капитаном Барбоссой для того, чтобы отправиться на край света и спасти своего друга — Джека. Ситуация осложняется тем, что Элизабет попадает к сингапурским пиратам…","XVIII век, Богиня, Воскрешение, Выстрел в упор, Главный герой мужского пола, Женщина-пират, Жестокость, Замедленная сцена, Кальмар, Культовый фильм, Массовое повешение, Месть, Нанесение удара ножом, Неожиданный финал, Обезьяна, Обман, Орган, Основано на аттракционах, Песок, Пират, Поднятие мужчины в воздух, После смерти, Предательство, Предложение вступить в брак, Психотронный фильм, Ром, Свадьба, Сверхъестественные способности, Сильная героиня, Сильная женщина, Сингапур, Смерть друга, Сцена после финальных титров, Сюрприз после финальных титров, Туннель, Церемония бракосочетания"
Чего хотят женщины,https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/f6142ae4-e271-4709-97c3-cc60a13be1b1/300x450,"мелодрама, комедия, фэнтези","Сексапильный Ник Маршал находится на пике карьеры в рекламном агентстве и рассчитывает на повышение, но его место занимает Дарси Макгуайр. Однажды с Ником происходит несчастный случай, после которого он начинает читать женские мысли. С помощью этого дара плейбой хочет вернуть утраченные позиции на работе, но вместо этого находит свою любовь.","Битва полов, Босой мужчина, Гетеросексуальность, Домашная кошка, Женщина в ванне, Колготки, Не в своей стихии, Ночной клуб, Обернутый в полотенце, Плэйбой, Подразумеваемый секс, Пол в названии, Признание, Реклама, Сексизм, Сексист, Такси, Телепатия, Точка зрения женщины, Чувствительность, Экстрасенсорные способности"
Константин: Повелитель тьмы,https://avatars.mds.yandex.net/get-kinopoisk-image/4486454/73e1c12a-7b14-408f-b5e9-b01765b29d36/300x450,"фэнтези, ужасы, боевик, детектив","Джону Константину удалось не только побывать в аду, но и вернуться обратно. Родившись с неугодным самому себе талантом — способностью распознавать помесь ангелов и демонов, которые бродят по земле в облике людей, — Константин под давлением обстоятельств пытается совершить самоубийство, лишь бы избавиться от мучительных видений. Но неудачно. Воскрешенный против собственной воли он снова оказывается в мире живых. Теперь, отмеченный печатью суицида и получивший временное право на жизнь, он патрулирует границу, разделяющую рай и ад, тщетно надеясь на обретение спасения путем сражения с земными ставленниками зла.","Ад, Ангел, Антигерой, Архангел, Благодеяние, Демон, Детектив, Дьявол, Жертвоприношение, Зажигалка, Зажигание сигареты, Золото, Избавление, Изолятор в психиатрической клинике, Калифорния, Католик, Католицизм, Католическая церковь, Клуб, Крест, Лос-Анджелес, Калифорния, Мистицизм, Небеса, Обман, Оружие, Отношения сестёр, Охотник на демонов, Падший ангел, Письменный стол, Питьевая вода, По мотивам комикса, Пристанище, Просьба о помощи, Разбитое стекло, Расследование, Религиозная женщина, Самопожертвование, Самоубийство, Сатана, Смерть, Фильм ужасов о сверхъестественном, Флешбэк, Экзорцизм"
Профессионал,https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/7727548a-3760-46f3-9879-f77ab9a62a81/300x450,"боевик, триллер, драма, криминал","Убить президента африканской республики. Такое задание получил секретный агент Жослен Бомон. Внезапно политика изменилась, и французское правительство сдает героя африканским властям. Сбежав с каторги, волк-одиночка возвращается на родину с одной целью: довести задание до конца. А чернокожий лидер как раз приезжает во Францию.","Агент, Африка, Бездомность, Бездомный, Бомж, Вождение, Вождение автомобиля, Голая женщина (вид сзади), Драка в баре, Женская грудь, Женская нагота, Женщина-полицейский, Застреленный, Машина, Облава, Оружие, Отель, Побег, Покушение на убийство (по найму или по политическим причинам), Полиция, Полностью обнаженная женщина, Прослушивание телефонных разговоров, Проститутка, Расследование, Ручное огнестрельное оружие, Секретный агент, Смерть, Снайпер, Тайна, Фиат, Франция, Французская секретная служба, Шпион"
"Добро пожаловать, или Посторонним вход воспрещен",https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/9e573bcc-26b3-40b9-b50e-e690a1bc1143/300x450,"комедия, семейный","Пионер Костя Иночкин, будучи в пионерском лагере, переплыл реку и оказался на запретной для посещений территории, за что и был изгнан его начальником товарищем Дыниным. Не желая доводить бабушку до инфаркта своим досрочным прибытием, мальчик тайно возвращается в лагерь, где пионеры так же тайно содержат его и предпринимают все меры, чтобы не состоялся родительский день. Ведь именно в этот день Костина бабушка заявится в лагерь...","Вуайерист, Голые ягодицы, Девочка, Дети, Женская нагота, Летние каникулы, Летний лагерь, Мужская нагота, Нагота, Озеро, Отпуск, Парень, Плавание, Праздник, Россия, Семейные отношения"
"Три билборда на границе Эббинга, Миссури",https://avatars.mds.yandex.net/get-kinopoisk-image/6201401/9a78d4ef-5b3b-49e5-9390-735167d01fdf/300x450,"драма, криминал","Спустя несколько месяцев после убийства дочери Милдред Хейс преступники так и не найдены. Отчаявшаяся женщина решается на смелый шаг - арендует на въезде в город три билборда и оставляет на них послание главе полиции Уильяму Уиллоуби. Когда в ситуацию оказывается втянут ещё и заместитель шерифа Диксон, инфантильный маменькин сынок со склонностью к насилию, борьба между Милдред и властями города только усугубляется.","Айдахо, Американский флаг, Афроамериканец, Бильярдная, Больной раком, Выброшенный через окно, Главный герой - женщина, Гнев, Горе, Двусмысленный финал, Дефенестрация, Жестокость, Изнасилование, Католический священник, Кашель с кровью, Коктейль Молотова, Лошадь, Магазин подарков, Маленький город, Мать-одиночка, Месть, Мрачная комедия, Огнестрельное оружие, Огнетушитель, Огонь, Отношения мужчины старше и женщины моложе, Поджог, Полицейская жестокость, Полицейский значок, Полицейский участок, Потеря дочери, Предсмертная записка, Разбитая стеклянная дверь, Расизм, Рекламное агентство, Рекламный щит, Самоубийство, Самоубийство из пистолета, Секретарь, Смерть дочери, Теленовости, Упоминание Оскара Уайлда, Худи"
Бешеные псы,https://avatars.mds.yandex.net/get-kinopoisk-image/1946459/b1add366-9e49-4ad8-905a-46ca23da8adc/300x450,"криминал, драма, триллер","Это должно было стать идеальным преступлением. Задумав ограбить ювелирный магазин, криминальный босс Джо Кэбот собрал вместе шестерых опытных и совершенно незнакомых друг с другом преступников. Но с самого начала все пошло не так, и обычный грабеж превратился в кровавую бойню.","Актер, сценарист и режиссер в одном лице, Актерский ансамбль, Банда, Бензин, Бриллиант, Ванная комната, Двусмысленное оригинальное название, Держать на прицеле, Жестокость, Заложник, Истекающий кровью, Кодовое имя, Крик Вильгельма (звуковой эффект), Кровавые сцены, Курение сигарет, Курение сигары, Мексиканская дуэль, Мрачная комедия, Насилие с применением огнестрельного оружия, Нелинейное повествование, Ненастоящая личность, Неоднократные выстрелы, Неожиданный финал, Неонуар, Несколько точек зрения, Ограбление, Отрезанное ухо, Подстреленный полицией, Покрытый кровью, Полицейский под прикрытием, Последствия, Предательство, Привязанный к стулу, Раздор внутри банды, Режиссер-актер, Режиссерский дебют, Самопожертвование, Стилизованное насилие, Сцена стрельбы, Сценарий режиссера, Убийство, Угроза пытки, Упоминание Джонна Диллинджера, Упоминание Мадонны, Флешбэк, Чаевые, Человек без имени"
